Station,Type,line,Longitude,Latitude,Aliases
"Stallikon, Tägerst",bus station,235|236,8.4874696,47.2986199,stallikontagerst|tagerst
"Stallikon, Wolfenhof",bus station,235|236,8.4855253,47.2945447,stallikonwolfenhof|wolfenhof
Stammheim,train station,S29,8.7885534,47.6348909,
"Stammheim, Bahnhof",bus station,605|823|EV1|N65,8.7889307,47.6350754,stammheimbahnhof
"Stammheim, Frohsinn",bus station,823,8.7997,47.6323,stammheimfrohsinn
Steg,train station,S26,8.9324,47.3539,
Steg im Tösstal,train station,S26,8.9322269,47.3538827,stegimtosstal
"Steg im Tösstal, Bahnhof",bus station,766|854|B|N85|N87,8.9326107,47.3538777,stegimtosstalbahnhof
Stein am Rhein,train station,S1|S29|SN3,8.854969,47.6557051,steinamrhein
Stein am Rhein (Schifflände),station,3820,8.8567,47.6599,steinamrheinschifflande
"Stein am Rhein, Altersheim",bus station,200,8.8663,47.659,steinamrheinaltersheim
"Stein am Rhein, Bahnhof",bus station,33|200|825|EV1|EV3|EV 1,8.8554403,47.6559062,steinamrheinbahnhof
"Stein am Rhein, Grenzstein",bus station,200,8.8751,47.6604,grenzstein|steinamrheingrenzstein
"Stein am Rhein, Rathaus",bus station,33,8.8599,47.6591,steinamrheinrathaus
"Stein am Rhein, Schule",bus station,33|200,8.8613,47.6594,steinamrheinschule
"Stein am Rhein, Strandbad",bus station,33,8.8502,47.6642,steinamrheinstrandbad
"Stein am Rhein, Untertor",bus station,33|200,8.8572,47.6615,steinamrheinuntertor
Steinhausen,train station,S5|SN5,8.4785024,47.1946516,
"Steinhausen (CH), Rigiblick",train station,S5,8.4797587,47.1880016,steinhausenchrigiblick
Steinmaur,train station,S15,8.4468548,47.4900525,
"Steinmaur, Bahnhof",bus station,535|E|EV1|N51,8.4478979,47.4897736,steinmaurbahnhof
"Steinmaur, Gemeindehaus",bus station,535|E,8.4490795,47.4939908,steinmaurgemeindehaus
"Steinmaur, Heitlig",bus station,535,8.4539206,47.5091314,heitlig|steinmaurheitlig
"Steinmaur, Obersteinmaur",bus station,535|E,8.4545993,47.4987996,obersteinmaur|steinmaurobersteinmaur
"Steinmaur, Sünikon",bus station,N51,8.4374717,47.4907095,steinmaursunikon|sunikon
"Sternenberg, Gfell",bus station,809,8.9331117,47.3821364,gfell|sternenberggfell
"Sternenberg, Höchstock",bus station,809,8.9095273,47.3794255,hochstock|sternenberghochstock
"Sternenberg, Kirche",bus station,809,8.9122035,47.3871188,sternenbergkirche
"Sternenberg, Rossweid",bus station,809,8.9152828,47.3849565,rossweid|sternenbergrossweid
"Sternenberg, Sunnenbad",bus station,809,8.9070322,47.3888489,sternenbergsunnenbad|sunnenbad
Stettbach,train station,S|S3|S5|S9|S11|S12|S14|S15|SN|SN1|SN6|SN9|SN11,8.5960349,47.3969977,
"Stettbach, Bahnhof",station,7|12|743|745|751|752|754|760|EV1|EV2|EV3|EV4|N6|N7|N76|N77|N78,8.5961,47.3973,stettbachbahnhof
"Stetten AG, Dorfplatz",bus station,336,8.3078,47.3999,stetten ag dorfplz|stettenagdorfplatz
"Stetten AG, Dörndler",bus station,322|N71,8.3114,47.4032,dorndler|stettenagdorndler
"Stetten AG, Klosterfeld",bus station,336,8.3048,47.397,klosterfeld|stettenagklosterfeld
"Stetten AG, Künterstrasse",bus station,322|336|N71,8.31,47.4001,kunterstr|kunterstrasse|stetten ag kunterstr|stettenagkunterstrasse
"Stetten AG, Mellingerstrasse",bus station,336,8.3037,47.403,mellingerstr|mellingerstrasse|stetten ag mellingerstr|stettenagmellingerstrasse
Stäfa,train station,S7|S16|S20|SN7,8.7219245,47.2406559,
Stäfa (See),station,3730|3733,8.7184525,47.2385355,stafasee
"Stäfa, Bahnhof",bus station,925|950|951|952|955|EV1|N95,8.7219186,47.2404131,stafabahnhof
"Stäfa, Binz",bus station,950|N92,8.7238108,47.2493338,stafabinz
"Stäfa, Dorf",bus station,951|955|N95,8.7349702,47.2393673,stafadorf
"Stäfa, Echtlenbach",bus station,950,8.7197069,47.2467797,echtlenbach|stafaechtlenbach
"Stäfa, Frohberg",bus station,880,8.7395798,47.2480323,stafafrohberg
"Stäfa, Grund",bus station,950|951|955|N95,8.7258268,47.2408912,stafagrund
"Stäfa, Kehlhof",bus station,952,8.736297,47.2341708,stafakehlhof
"Stäfa, Kniebreche",bus station,950,8.7229095,47.2514129,kniebreche|stafakniebreche
"Stäfa, Krone",bus station,950|951|955|N95,8.7229742,47.2414628,stafakrone
"Stäfa, Landi",bus station,951|955|N95,8.7325071,47.2407444,stafalandi
"Stäfa, Lattenberg",bus station,950,8.7197556,47.2488122,lattenberg|stafalattenberg
"Stäfa, Laubisrüti",bus station,951|955|N95,8.7478438,47.238619,laubisruti|stafalaubisruti
"Stäfa, Lindenbänkli",bus station,950,8.7275001,47.2467378,lindenbankli|stafalindenbankli
"Stäfa, Metzg",bus station,950,8.7263283,47.2452576,metzg|stafametzg
"Stäfa, Mies",bus station,951|955|N95,8.7392723,47.2392019,mies|stafamies
"Stäfa, Mühlehölzli",bus station,950,8.7201045,47.2578491,muhleholzli|stafamuhleholzli
"Stäfa, Obstgarten",bus station,951|955|N95,8.7303637,47.2411463,stafaobstgarten
