Station,Type,line,Longitude,Latitude,Aliases
Aadorf,train station,S12|S35|SN21,8.9035802,47.4877908,
"Aadorf, Bahnhof",bus station,834,8.9027,47.4884,aadorfbahnhof
"Aadorf, Matthofstrasse",bus station,834,8.9046,47.4852,aadorf matthofstr|aadorfmatthofstrasse|matthofstr|matthofstrasse
"Aadorf, Morgental",bus station,834,8.8962,47.494,aadorfmorgental
"Aadorf, Zentrum",bus station,834,8.8994,47.4911,aadorfzentrum
Aathal,train station,S|S14|SN5,8.7661692,47.3355726,
"Aathal, Bahnhof",station,,8.7664743,47.3356051,aathalbahnhof
"Adetswil, Frowiesstrasse",bus station,850|851|N87,8.8440315,47.3385908,adetswil frowiesstr|adetswilfrowiesstrasse|frowiesstr|frowiesstrasse
"Adetswil, Sunneberg",bus station,850|851|N87,8.8418636,47.3386802,adetswilsunneberg|sunneberg
Adlikon b. Andelfingen,bus station,612|N60|N65,8.6899,47.583,adlikonbandelfingen
"Adlikon b. R., Dorf",bus station,453|456|485|N45,8.4664534,47.4480636,adlikonbrdorf
"Adlikon b. R., Leematten",bus station,451,8.4669521,47.4526015,adlikonbrleematten|leematten
"Adlikon b. R., Pächterried",bus station,485|N45,8.4700447,47.4458998,adlikonbrpachterried|pachterried
"Adlikon b. R., Sonnhalde",bus station,453|485|N45,8.4622067,47.4520229,adlikonbrsonnhalde|sonnhalde
"Adlikon b. R., Sonnhalde West",bus station,453|485|N45,8.4589159,47.4532933,adlikonbrsonnhaldewest|sonnhalde west|sonnhaldewest
"Adlikon b. R., Ziegelhütte",bus station,456,8.4660477,47.4524656,adlikonbrziegelhutte
Adlikon bei Andelfingen,bus station,612|N60|N65,8.6899051,47.5829906,adlikonbeiandelfingen
Adliswil,train station,S4|SN4,8.5240718,47.3123319,
Adliswil (Luftseilbahnstation),train station,26,8.5200548,47.3131702,adliswilluftseilbahnstation
"Adliswil, Ahornweg",bus station,162|185|N18,8.5342196,47.3189285,adliswilahornweg
"Adliswil, Badstrasse",bus station,185|N18,8.533806,47.3135982,adliswil badstr|adliswilbadstrasse|badstr|badstrasse
"Adliswil, Bahnhof",bus station,151|152|153|156|184|185|N15|N18,8.5243601,47.3115466,adliswilbahnhof
"Adliswil, Baldernstrasse",bus station,151|N15,8.5155924,47.320786,adliswil baldernstr|adliswilbaldernstrasse|baldernstr|baldernstrasse
"Adliswil, Baumgartenweg",station,,8.5256166,47.3096008,adliswilbaumgartenweg|baumgartenweg
"Adliswil, Bodenacker",bus station,151|N15,8.5177394,47.3164032,adliswilbodenacker|bodenacker
"Adliswil, Büchel",bus station,153|N18,8.5220981,47.3011064,adliswilbuchel|buchel
"Adliswil, Dietlimoos",bus station,185|N18,8.5322049,47.3225997,adliswildietlimoos|dietlimoos
"Adliswil, Feldblumenstrasse",bus station,151|N15,8.5190791,47.3146276,adliswil feldblumenstr|adliswilfeldblumenstrasse
"Adliswil, Friedhof",bus station,152,8.530081,47.3067251,adliswilfriedhof
"Adliswil, Grundstrasse",bus station,185|N18,8.5300496,47.3129502,adliswil grundstr|adliswilgrundstrasse
"Adliswil, Grüt",bus station,184|N18,8.5289738,47.3224414,adliswilgrut
"Adliswil, Hofackerstrasse",bus station,162|185|N18,8.5357961,47.3151805,adliswil hofackerstr|adliswilhofackerstrasse|hofackerstr|hofackerstrasse
"Adliswil, Krone",bus station,184|N18,8.527645,47.3130808,adliswilkrone
"Adliswil, Landolt-Junker-Str.",bus station,153|N18,8.5222625,47.3033446,adliswillandoltjunkerstr|landolt junker str|landoltjunkerstr
"Adliswil, Moos",bus station,185,8.5311324,47.3251375,adliswilmoos
"Adliswil, Poststrasse",bus station,151|N15,8.5252006,47.3132028,adliswil poststr|adliswilpoststrasse|poststr|poststrasse
"Adliswil, Rifertstrasse",bus station,152|156|N15,8.5318266,47.3099469,adliswil rifertstr|adliswilrifertstrasse|rifertstr|rifertstrasse
"Adliswil, Rütistrasse/Wacht",bus station,152,8.532203,47.3070199,adliswil rutistr wacht|adliswilrutistrassewacht|rutistr wacht|rutistrasse wacht|rutistrassewacht
"Adliswil, Schulhaus Kopfholz",bus station,152|156|N15,8.5344481,47.3087976,adliswilschulhauskopfholz|schulhaus kopfholz|schulhauskopfholz
"Adliswil, Sihlau",station,,8.5251476,47.3034524,adliswilsihlau|sihlau
"Adliswil, Sood",station,,8.5212482,47.3204902,adliswilsood|sood
"Adliswil, Sunnau",bus station,184|185|N18,8.5295613,47.325944,adliswilsunnau|sunnau
"Adliswil, Tiefacker",bus station,184|N18,8.5300177,47.3165666,adliswiltiefacker|tiefacker
"Adliswil, Tobelhof",bus station,152,8.5310522,47.3082991,adliswiltobelhof
"Adliswil, Wanneten-/Haldenstr.",bus station,153|N18,8.5224734,47.3059153,adliswilwannetenhaldenstr|wanneten haldenstr|wannetenhaldenstr
"Adliswil, Zopf",bus station,151|N15,8.5163533,47.3191597,adliswilzopf|zopf
Aesch (Neftenbach),bus station,671|677|EV1|N64,8.6812049,47.541852,aeschneftenbach
"Aesch bei Maur, Hellstrasse",bus station,706,8.6581743,47.3244225,aesch bei maur hellstr|aeschbeimaurhellstrasse|hellstr|hellstrasse
"Aesch bei Maur, Im Brünneli",bus station,706,8.6547433,47.3306117,aeschbeimaurimbrunneli|im brunneli|imbrunneli
"Aesch bei Maur, Zollingerheim",bus station,706,8.6564671,47.3267164,aeschbeimaurzollingerheim|zollingerheim
"Aesch ZH, Gemeindehaus",bus station,215|245|N22,8.4386629,47.3380832,aeschzhgemeindehaus
"Aesch ZH, Heligenmattstrasse",bus station,215|245|N22,8.4365255,47.3348815,aesch zh heligenmattstr|aeschzhheligenmattstrasse|heligenmattstr|heligenmattstrasse
"Aeugst a.A., Dorf",bus station,225|235|N24,8.4859474,47.267537,aeugstaadorf
"Aeugst a.A., Grossacher",bus station,225|235|N24,8.4911526,47.2661133,aeugstaagrossacher
"Aeugst a.A., Höchweg",bus station,225|235|N24,8.4810008,47.2707122,aeugstaahochweg|hochweg
"Aeugstertal, Kloster",bus station,235|236,8.486807,47.2844044,aeugstertalkloster
"Aeugstertal, Landhus",bus station,236,8.5008189,47.2797155,aeugstertallandhus|landhus
"Aeugstertal, Müliberg",bus station,225|235|N24,8.4784863,47.2813943,aeugstertalmuliberg|muliberg
"Affoltern a.A., Bahnhof",bus station,200|212|214|215|217|223|225|EV1|N24,8.4466437,47.2758391,affolternaabahnhof
"Affoltern a.A., Bezirksspital",bus station,225|N24,8.4574674,47.2806284,affolternaabezirksspital|bezirksspital
"Affoltern a.A., Blitzgbach",bus station,200,8.453101,47.2852725,affolternaablitzgbach|blitzgbach
"Affoltern a.A., Friedhof",bus station,214,8.4464567,47.2827401,affolternaafriedhof
"Affoltern a.A., Kronenplatz",bus station,200|225|N24,8.4535243,47.281113,affoltern a a kronenplz|affolternaakronenplatz|kronenplatz|kronenplz
"Affoltern a.A., Lilienberg",bus station,225|N24,8.4666972,47.2780548,affolternaalilienberg|lilienberg
"Affoltern a.A., Lindenmoos",bus station,223,8.4445737,47.2711977,affolternaalindenmoos|lindenmoos
"Affoltern a.A., Moosbach",bus station,212|215|217,8.4398579,47.2727319,affolternaamoosbach|moosbach
"Affoltern a.A., Stigeli",bus station,225|N24,8.459066,47.2785094,affolternaastigeli|stigeli
"Affoltern a.A., Weinberg",bus station,225|N24,8.4616752,47.2794758,affolternaaweinberg
Affoltern am Albis,train station,S5|S14|SN5,8.4464246,47.2761379,affolternamalbis
Agasul,bus station,640|N62,8.7443189,47.425174,
"Altenburg, Anwandel",bus station,7347,8.604,47.6583,altenburganwandel|anwandel
"Altenburg, Grosse Breite",bus station,7347,8.6036,47.6569,altenburggrossebreite|grosse breite|grossebreite
"Altenburg, Industriegebiet",bus station,7347,8.5984,47.6608,altenburgindustriegebiet
"Altenburg, Rathaus",bus station,7347,8.5989,47.6581,altenburgrathaus
"Altenburg, Schule",bus station,7347,8.6001,47.6559,altenburgschule
Altenburg-Rheinau,station,,8.5968846,47.6639628,altenburgrheinau
Altendorf Seestatt,station,3730,8.8326432,47.1950366,altendorfseestatt
Altendorf SZ,train station,S2|S8|SN8,8.8229582,47.1946228,altendorfsz
"Altendorf, Talstrasse",bus station,521|522,8.8177183,47.1930754,altendorf talstr|altendorftalstrasse
"Altendorf, Tevag",bus station,521|522,8.8082,47.2006,altendorftevag|tevag
"Altikon, Brückenwaage",bus station,615|N61,8.7821168,47.5730809,altikonbruckenwaage
"Altikon, Herten",bus station,615|N61,8.800299,47.5688839,altikonherten|herten
Andelfingen,train station,S|S12|S24|S33|SN3,8.6779246,47.5937061,
"Andelfingen, Bahnhof",bus station,605|612|672|677|EV1|EV3|EV4|N60|N65,8.6777952,47.5938604,andelfingenbahnhof
"Andelfingen, Thurbrücke Alten",bus station,672,8.6530791,47.5951472,andelfingenthurbruckealten|thurbrucke alten|thurbruckealten
"Aristau, Althäusern",bus station,245,8.3599179,47.2944919,althausern|aristaualthausern
"Aristau, Birri",bus station,217|245|N6,8.3622707,47.2791724,aristaubirri|birri
"Aristau, Dorf",bus station,245,8.3620765,47.2862891,aristaudorf
"Arni AG, Dorf",bus station,215|231|245|N22,8.4197354,47.3183845,arniagdorf
"Arni AG, Stockacker",bus station,205|215|231|245|N22,8.4242959,47.3203695,arniagstockacker|stockacker
"Attikon, Dorf",station,,8.7962518,47.5358745,attikondorf
"Atzmännig, Schutt",bus station,630|885,8.9958887,47.2845716,atzmannigschutt|schutt
Au ZH,train station,IR35|S|S8|SN8,8.6439227,47.2469857,
"Au ZH, Alte Landstrasse",bus station,121|126|E,8.6350484,47.2471232,au zh alte landstr|auzhaltelandstrasse
"Au ZH, Appital",bus station,122,8.6448605,47.240544,appital|auzhappital
"Au ZH, Aubrücke",bus station,121|126|E|N28,8.6499598,47.2458159,auzhaubrucke
"Au ZH, Austrasse",station,,8.6482416,47.2451953,au zh austr|auzhaustrasse
"Au ZH, Bahnhof",bus station,121|126|E|N28,8.6443084,47.2465139,auzhbahnhof
"Au ZH, Grundstein",bus station,122|126|N28,8.654844,47.2421752,auzhgrundstein|grundstein
"Au ZH, Gwad",bus station,122|126|N28,8.6575703,47.2395106,auzhgwad|gwad
"Au ZH, Moosacher",bus station,122|126|E|N28,8.6392568,47.2404046,auzhmoosacher
"Au ZH, Naglikonerweg",bus station,121|126|E,8.6354383,47.2480187,auzhnaglikonerweg|naglikonerweg
"Au ZH, Schützenhaus",bus station,122|126|E|N28,8.6453219,47.2416726,auzhschutzenhaus
"Au ZH, Seeguet",bus station,121|126,8.633184,47.2494094,auzhseeguet|seeguet
"Au ZH, Stoffelstrasse",bus station,122|126|E|N28,8.6510239,47.2414778,au zh stoffelstr|auzhstoffelstrasse|stoffelstr|stoffelstrasse
"Au ZH, Strandbad",bus station,121|126|N28,8.6589102,47.2403421,auzhstrandbad
"Au ZH, Unter Ort",bus station,121|126,8.6320482,47.2482427,auzhunterort|unter ort|unterort
"Auslikon, Ober Balm",bus station,858|859,8.8170264,47.3418491,auslikonoberbalm|ober balm|oberbalm
"Auslikon, Schulhausstrasse",bus station,859,8.8080237,47.3437824,auslikon schulhausstr|auslikonschulhausstrasse
"Auw, Altersheim",bus station,347,8.3722,47.2085,auwaltersheim
"Auw, Hinterdorfstrasse",bus station,EV2,8.3641,47.2126,auw hinterdorfstr|auwhinterdorfstrasse|hinterdorfstr|hinterdorfstrasse
"Auw, Mitteldorf",bus station,347,8.3642,47.2114,auwmitteldorf
"Auw, Oberdorf",bus station,347,8.3609,47.2096,auwoberdorf
"Auw, Rüstenschwil Dorf",bus station,N6,8.3663,47.2251,auwrustenschwildorf|rustenschwil dorf|rustenschwildorf
"Auw, Sinserstrasse",bus station,EV2|N6,8.3659,47.211,auw sinserstr|auwsinserstrasse|sinserstr|sinserstrasse
"Auw, Unterdorf",bus station,347,8.3688,47.2101,auwunterdorf
Baar,train station,EXT|IR|IR70|IR75|N7|RE|S1|S23|S24,8.5228472,47.1954119,
"Baar, Bachtalerhöhe",bus station,280,8.5104417,47.2099029,baarbachtalerhohe|bachtalerhohe
"Baar, Bahnhof",bus station,280|603|604|631|632|634|636|EV1,8.5237058,47.1954488,baarbahnhof
"Baar, Bahnmatt",bus station,280|604|636,8.5238231,47.1966801,baarbahnmatt|bahnmatt
"Baar, Blegistrasse",bus station,631|N3,8.5673,47.2146,baar blegistr|baarblegistrasse|blegistr|blegistrasse
"Baar, Kreuzplatz",bus station,603|604|634,8.5262082,47.1952003,baar kreuzplz|baarkreuzplatz
"Baar, Lättich",bus station,603,8.538,47.2008,baarlattich|lattich
"Baar, Paradies",bus station,603|631|632|N3,8.5378823,47.1968526,baarparadies
"Baar, Pfaffentobel",bus station,631|N3,8.5716862,47.2157394,baarpfaffentobel|pfaffentobel
"Baar, Rathaus",bus station,604|N3,8.5250184,47.1944469,baarrathaus
"Baar, Ruessen",bus station,631|N3,8.5623,47.2131,baarruessen|ruessen
"Baar, Waldmannhalle",bus station,280|604,8.5199795,47.1997927,baarwaldmannhalle|waldmannhalle
"Baar, Walterswil",bus station,631|N3,8.5558,47.211,baarwalterswil|walterswil
"Bachenbülach, Alte Post",bus station,530|531|E|N54,8.545992,47.5050135,bachenbulachaltepost
"Bachenbülach, Bramenländli",bus station,501|504,8.5372283,47.5029562,bachenbulachbramenlandli|bramenlandli
"Bachenbülach, Bramenstrasse",bus station,501|504,8.5411963,47.5048344,bachenbulach bramenstr|bachenbulachbramenstrasse|bramenstr|bramenstrasse
"Bachenbülach, Schmiede",bus station,530|531|E|N54,8.5450179,47.5009392,bachenbulachschmiede|schmiede
"Bachs, Alt-Bachs",bus station,535,8.4396844,47.5236646,alt bachs|altbachs|bachsaltbachs
"Bachs, Milchhütte",bus station,535|N50,8.4388409,47.52682,bachsmilchhutte|milchhutte
"Bachs, Neu-Bachs",bus station,535|N50,8.4420949,47.5261442,bachsneubachs|neu bachs|neubachs
"Bachs, Weiherbach",bus station,535,8.4492943,47.5192638,bachsweiherbach|weiherbach
Bad Zurzach,train station,S27|S36,8.2960961,47.5883247,badzurzach
"Bad Zurzach, Bahnhof",bus station,1|2|3|4|352|358|360|EV1|N73,8.2952842,47.5882677,badzurzachbahnhof
"Bad Zurzach, Dachsweg",bus station,4,8.3009,47.5827,badzurzachdachsweg|dachsweg
"Bad Zurzach, Friedhof",bus station,4,8.3035,47.5801,badzurzachfriedhof
"Bad Zurzach, Regibad",bus station,4,8.3068,47.5833,badzurzachregibad|regibad
"Bad Zurzach, Seesteg",bus station,358,8.3046,47.5832,badzurzachseesteg|seesteg
Baden,train station,EXT|IC|IR16|IR36|NJ|RE12|RE36|S|S6|S12|S19|S23|S27|S29|SN1,8.3077,47.4764,
Baden AG,train station,S6|S12|S19|SN1,8.30747,47.4766203,badenag
"Baden, Bahnhof Ost",bus station,1|2|3|4|5|6|7|9|N33|N35,8.3082,47.4766,badenbahnhofost
"Baden, Bahnhof West",bus station,1|2|3|4|5|6|7|9|320|321|322|332|334|352|353|354|EV1|EV2|N33|N35|N36|N37|N38|N70|N72,8.3069,47.4765,badenbahnhofwest|bahnhof west|bahnhofwest
"Baden, Belvédère",bus station,5,8.3001,47.4739,badenbelvedere
"Baden, Bruggerstrasse",bus station,1|4|6|N35|N37,8.3031,47.4789,baden bruggerstr|badenbruggerstrasse|bruggerstr|bruggerstrasse
"Baden, Brunnmatt",bus station,2|N33,8.3062,47.4638,badenbrunnmatt|brunnmatt
"Baden, Freihof",bus station,2|3|5|N36,8.3118,47.4789,badenfreihof
"Baden, Grand Casino",bus station,2|3|5|N36,8.3099,47.4781,badengrandcasino|grand casino|grandcasino
"Baden, Grosse Bäder",bus station,3,8.3126,47.4812,badengrossebader|grosse bader|grossebader
"Baden, Historisches Museum",bus station,352|353|354|N73,8.3113,47.473,badenhistorischesmuseum|historisches museum|historischesmuseum
"Baden, Kantonsschule",bus station,1|7|352|353|354|N35|N73,8.3142,47.4711,badenkantonsschule
"Baden, Kreuzliberg",bus station,2|N33,8.306,47.4661,badenkreuzliberg|kreuzliberg
"Baden, Kurtheater",bus station,3,8.3098,47.4803,badenkurtheater|kurtheater
"Baden, Liebenfels",bus station,2|N33,8.3068,47.4606,badenliebenfels|liebenfels
"Baden, Lindeli",bus station,5,8.303,47.4734,badenlindeli|lindeli
"Baden, Lindenplatz",bus station,2|6|7|9|320|321|322|332|334|N33|N38|N70|N71|N72,8.3054,47.4712,baden lindenplz|badenlindenplatz
"Baden, Oberstadt",bus station,2|N33,8.3046,47.4697,badenoberstadt|oberstadt
"Baden, Postautostation",bus station,320|321|322|332|334|352|353|354|N70|N71|N72|N73,8.3086,47.4775,badenpostautostation|postautostation
"Baden, Römerstrasse",bus station,1|4|6|N35,8.3014,47.4807,baden romerstr|badenromerstrasse
"Baden, Rütistrasse",bus station,5,8.305,47.4742,baden rutistr|badenrutistrasse
"Baden, Schlossbergplatz",bus station,1|2|3|4|5|6|7|9|N33|N35|N70|N71|N72|N73,8.3071,47.474,baden schlossbergplz|badenschlossbergplatz|schlossbergplatz|schlossbergplz
"Baden, Schulhausplatz",bus station,1|3|4|7|352|353|354|N33|N35|N73,8.3079,47.4715,baden schulhausplz|badenschulhausplatz|schulhausplatz|schulhausplz
"Baden, Schwimmbad",bus station,3|4|N33,8.312,47.4668,badenschwimmbad
"Baden, St. Ursus",bus station,5,8.3031,47.4742,badenstursus|st ursus|stursus
"Baden, Stein",bus station,1|2|3|4|6|7|9|320|321|322|332|334|352|353|354|N33|N35|N38|N70|N72,8.3064,47.4739,badenstein|stein
"Baden, Trafo",bus station,1|2|3|4|5|6|7|9|N33|N35|N36|N37,8.3064,47.4781,badentrafo|trafo
"Baden, Utostrasse",bus station,3|4|N33,8.3122,47.4704,baden utostr|badenutostrasse|utostr|utostrasse
"Baldingen, Mitteldorf",bus station,358,8.317,47.5551,baldingenmitteldorf
"Baldingen, Oberdorf",bus station,358,8.3145,47.5551,baldingenoberdorf
"Baldingen, Unterdorf",bus station,358,8.3198,47.5555,baldingenunterdorf
"Balm (Kr WT), Ortseingang",bus station,7347,8.5927,47.6348,balmkrwtortseingang|ortseingang
Baltenswil,bus station,765|N78,8.6417082,47.4302362,
"Baltersweil, Neue Welt",bus station,7347,8.508,47.6346,baltersweilneuewelt
"Baltersweil, Rathaus",bus station,7347,8.5101,47.6369,baltersweilrathaus
"Baltersweil, Zollhaus",bus station,7347,8.5186,47.6389,baltersweilzollhaus|zollhaus
"Balterswil, Dorf",bus station,735|736,8.937,47.4527,balterswildorf
"Balterswil, Rietwies",bus station,735|736,8.9396,47.4545,balterswilrietwies
"Balterswil, Schulhaus",bus station,735,8.9335,47.4513,balterswilschulhaus
"Bankholzen, Schienerbergstr.",bus station,201,8.9302,47.7101,bankholzenschienerbergstr
"Bankholzen, Vordere Höristr.",bus station,200|200S,8.9316,47.7107,bankholzenvorderehoristr|vordere horistr|vorderehoristr
"Basadingen, Grüt",bus station,823|847|848|EV1|EV3,8.7504397,47.6730424,basadingengrut
"Basadingen, Unterdorf",bus station,823|847|848,8.7488,47.6693,basadingenunterdorf
Bassersdorf,train station,S|S7|S24|SN7,8.6261706,47.4384835,
"Bassersdorf, Bahnhof",bus station,660|765|766|769|EV1|N78,8.6261361,47.4387177,bassersdorfbahnhof
"Bassersdorf, Bahnhof Süd",bus station,749,8.62718,47.4379694,bassersdorfbahnhofsud
"Bassersdorf, Bächli",bus station,765|N78,8.6357402,47.4389515,bachli|bassersdorfbachli
"Bassersdorf, Chlupfgasse",bus station,765|766,8.6246237,47.444625,bassersdorfchlupfgasse|chlupfgasse
"Bassersdorf, Dietlikonerstr.",bus station,660|765|766|769|N78,8.6296514,47.4417669,bassersdorfdietlikonerstr|dietlikonerstr
"Bassersdorf, Gemeindehaus",bus station,660|769|N66|N78,8.6290815,47.4435538,bassersdorfgemeindehaus
"Bassersdorf, Grindel",bus station,765|766,8.6081189,47.4465831,bassersdorfgrindel|grindel
"Bassersdorf, Löwen",bus station,660|765|766,8.6281927,47.4435359,bassersdorflowen
"Bassersdorf, Rietli",bus station,660|769|N66|N78,8.6362008,47.4446946,bassersdorfrietli
"Bassersdorf, Schmitte",bus station,660|765|766|769,8.6287902,47.4429811,bassersdorfschmitte|schmitte
"Bassersdorf, Sportanlage",bus station,765|766,8.6107637,47.4444515,bassersdorfsportanlage
"Bassersdorf, Talgüetli",bus station,765|766,8.6204975,47.445108,bassersdorftalguetli|talguetli
Bauma,train station,EXT|S26,8.8782658,47.3689256,
"Bauma, Bahnhof",bus station,809|835|837|850|854|B|EV1|EV2|N82|N87,8.8792165,47.368338,baumabahnhof
"Bauma, Dorfmitti",bus station,850|N87,8.876699,47.3668041,baumadorfmitti|dorfmitti
"Bauma, Giess. Wolfensberger",bus station,850|N87,8.8717643,47.36351,baumagiesswolfensberger|giess wolfensberger|giesswolfensberger
"Bauma, Giesserei",bus station,850|N87,8.8718,47.3635,baumagiesserei|giesserei
"Bauma, Holderbaum",bus station,854|N87,8.884602,47.3657608,baumaholderbaum|holderbaum
"Bauma, Hörnen",bus station,809,8.8871575,47.36966,baumahornen|hornen
"Bauma, Lipperschwändi",bus station,854|B|N87,8.9201008,47.3595894,baumalipperschwandi|lipperschwandi
"Bauma, Musterplatz",bus station,809,8.8998156,47.3807363,bauma musterplz|baumamusterplatz
"Bauma, Schindlet",bus station,809,8.8955899,47.3773173,baumaschindlet|schindlet
"Bauma, Seewadel",bus station,854|N87,8.8986851,47.3650978,baumaseewadel|seewadel
"Bauma, Widen",bus station,835|837|N82,8.86738,47.3698614,baumawiden|widen
Bechtersbohl,bus station,7340,8.3472,47.604,
"Beinwil (Freiamt), Ab.Winters.",bus station,344,8.3408,47.2323,ab winters|abwinters|beinwilfreiamtabwinters
"Beinwil (Freiamt), Dorf",bus station,344,8.3428,47.2297,beinwilfreiamtdorf
"Beinwil (Freiamt), Unterdorf",bus station,344,8.3463,47.2315,beinwilfreiamtunterdorf
"Bellikon, Abz. Hausen",station,,8.3391309,47.3946797,abz hausen|abzhausen|bellikonabzhausen
"Bellikon, Abzw. Hausen",bus station,320|321|331|445|N70,8.3391,47.3947,abzw hausen|abzwhausen|bellikonabzwhausen
"Bellikon, Dorf",bus station,320|321|331|445|N70,8.3434,47.3895,bellikondorf
"Bellikon, Post",station,,8.3433747,47.3895105,bellikonpost
"Bellikon, Rehaklinik",bus station,320|321|331|445|N70,8.3440336,47.3885339,bellikonrehaklinik|rehaklinik
"Benglen, Bodenacher",bus station,703|704|705|N74,8.638613,47.3611309,benglenbodenacher
"Benglen, Gerlisbrunnen",bus station,703|704|705|N74,8.6327833,47.3609215,benglengerlisbrunnen|gerlisbrunnen
"Benglen, Langwis",bus station,704|705|706|N74,8.6301059,47.3619656,benglenlangwis
"Benken ZH, Dorf",bus station,630|847|N69,8.653365,47.6529523,benkenzhdorf
Benzenschwil,train station,EXT|S26,8.3656,47.2469,
"Benzenschwil, Bahnhof",bus station,344|EV1|EV2|N6,8.3639,47.248,benzenschwilbahnhof
Berg am Irchel,bus station,670|677|N64,8.5981242,47.5696882,bergamirchel
"Bergdietikon, Baltenschwil",bus station,305|315,8.392573,47.3927847,baltenschwil|bergdietikonbaltenschwil
"Bergdietikon, Bergli",bus station,305|315|N31,8.3896839,47.3912165,bergdietikonbergli
"Bergdietikon, Bernold",bus station,305|315|N31,8.3881424,47.387964,bergdietikonbernold|bernold
"Bergdietikon, Dünni",bus station,305|315,8.3930983,47.3947503,bergdietikondunni|dunni
"Bergdietikon, Rietwies",bus station,305|315,8.3906746,47.3932861,bergdietikonrietwies
"Bergdietikon, Vorbühl",bus station,305|315|N31,8.385073,47.3896442,bergdietikonvorbuhl|vorbuhl
Bergfrieden,train station,N32|S17,8.3989644,47.3975711,
Bergöschingen,bus station,7340,8.4215,47.5955,
"Bergöschingen, Abzw Bercherhof",bus station,7340,8.4122,47.5882,abzw bercherhof|abzwbercherhof|bergoschingenabzwbercherhof
"Berikon, Kesslernmatt",bus station,320|321|445|N31|N70,8.3660801,47.3645766,berikonkesslernmatt|kesslernmatt
"Berikon, Kirche",bus station,350|445|N31,8.3714171,47.3510502,berikonkirche
"Berikon, Kreisschule",bus station,350|445|N31,8.3662931,47.3562726,berikonkreisschule|kreisschule
"Berikon, Mattenhof",bus station,350|445|N31,8.3800702,47.3441258,berikonmattenhof
"Berikon, Stalden",bus station,350|445|N31,8.3766238,47.347572,berikonstalden|stalden
Berikon-Widen,train station,S17,8.3666812,47.3618373,berikonwiden
"Berikon-Widen, Bahnhof",bus station,320|321|350|445|EV1|N31|N32|N70,8.3668162,47.3619891,berikonwidenbahnhof
"Berikon-Widen, Bahnhof Nord",bus station,320|321|EV1,8.3667,47.3623,berikonwidenbahnhofnord
Beringen Bad Bf,train station,S64,8.5744,47.695,beringenbadbf
"Beringen, Bahnhof",station,28|28R,8.5757911,47.6948236,beringenbahnhof
"Beringen, Belvedere",bus station,28,8.5845,47.699,beringenbelvedere
"Beringen, Beringerfeld",bus station,21|N77,8.592,47.6958,beringenberingerfeld|beringerfeld
"Beringen, Bifang",bus station,28,8.5778,47.6983,beringenbifang
"Beringen, Brandplatz",bus station,28,8.5738,47.6987,beringen brandplz|beringenbrandplatz|brandplatz|brandplz
"Beringen, Eggeweg",bus station,28,8.5782,47.6992,beringeneggeweg|eggeweg
"Beringen, Enge",bus station,21|N77,8.6014,47.6947,beringenenge
"Beringen, Hägli",bus station,21|N77,8.5832,47.6964,beringenhagli|hagli
"Beringen, Höhenweg",bus station,21,8.5706,47.6979,beringenhohenweg|hohenweg
"Beringen, Neuweg",bus station,28,8.5805,47.6985,beringenneuweg|neuweg
"Beringen, Oberdorf",bus station,28,8.5746,47.6998,beringenoberdorf
"Beringen, Oberstieg",bus station,28,8.5805,47.6993,beringenoberstieg|oberstieg
"Beringen, Rain",bus station,28,8.5837,47.6983,beringenrain
"Beringen, Rauhergete",bus station,28,8.5702,47.6945,beringenrauhergete|rauhergete
"Beringen, Sonne",bus station,21|28|N77,8.5749,47.6969,beringensonne
Beringerfeld,train station,S64,8.5922,47.6954,
"Bertschikon b. G., Dorf",bus station,845,8.7575476,47.3203069,bertschikonbgdorf
"Bertschikon b. G., Müselacher",bus station,845,8.7559813,47.3227716,bertschikonbgmuselacher
Bertschikon bei Attikon,bus station,611,8.8139542,47.5264996,bertschikonbeiattikon
"Besenbüren, Dorf",bus station,341,8.3442,47.312,besenburendorf
"Besenbüren, Schulhaus",bus station,341,8.3428,47.3147,besenburenschulhaus
Bibenlos-Sonnenhof,train station,S17,8.3503,47.3538,bibenlossonnenhof
Biberbrugg,train station,40|RE|RE25|S13|S31|S40|SN13|VAE,8.7227153,47.1564904,
"Bichelsee, Dorf",bus station,735|806,8.9221649,47.4480184,bichelseedorf
"Bichelsee, Niederhofen-Höfli",bus station,806,8.9096358,47.4548352,bichelseeniederhofenhofli|niederhofen hofli|niederhofenhofli
"Bichelsee, Volg",bus station,735,8.9274711,47.4490297,bichelseevolg
Bilten,train station,EXT|IR35|S|S2|S8|S25|S27,9.0300031,47.1521271,
"Binz bei Maur, Bautacher",bus station,701|706,8.6300253,47.3583593,bautacher|binzbeimaurbautacher
"Binz bei Maur, Fridlimatt",bus station,701|N71,8.6246047,47.3592697,binzbeimaurfridlimatt|fridlimatt
"Binz bei Maur, Gassacher",bus station,701|910|N71,8.6280894,47.35703,binzbeimaurgassacher|gassacher
"Binz bei Maur, Twäracher",bus station,703|N74,8.6234622,47.3608736,binzbeimaurtwaracher|twaracher
Birchwil (Nürensdorf),bus station,658|660|769|N66|N70,8.639,47.458,birchwilnurensdorf
Birchwil bei Nürensdorf,bus station,658|660|769|N66|N70,8.6388296,47.4577822,birchwilbeinurensdorf
Birmensdorf ZH,train station,S5|S14|SN5,8.437624,47.3575035,birmensdorfzh
